Date,MMM,AOS,ABT,ABBV,ACN
2023-08-28,9135646,502200,5862500,2806900,1236400
2023-08-29,6270867,609600,4515600,3419100,1525000
2023-08-30,3915584,568500,3711300,3486400,1470400
2023-08-31,7781296,895600,4042300,4110700,1986300
2023-09-01,4354038,864000,2641100,3357800,1732700
2023-09-05,5817583,828600,4284000,3911100,1736600
2023-09-06,3210423,578500,5094400,5304300,1247900
2023-09-07,3476652,698400,3863200,5142100,1533000
2023-09-08,3317824,710100,3521300,4339800,1416800
2023-09-11,3398314,547500,4891100,2911600,1551300
2023-09-12,3823134,1102900,3531400,2424800,3205000
2023-09-13,9059820,1395600,3192500,5953700,2496200
2023-09-14,5004184,914200,4086600,6336900,1904000
2023-09-15,7178631,1232900,8300900,8861500,3335400
2023-09-18,5141006,1006400,3652600,2967600,1350700
2023-09-19,3192483,684600,4090800,3509700,1898800
2023-09-20,2936300,586100,3966000,2744800,1693100
2023-09-21,4252856,749500,3943700,3660300,1911600
2023-09-22,4172724,1275200,4357800,3049200,1994400
2023-09-25,5315263,1116200,4096300,3740000,2054600
2023-09-26,4159927,1299600,3967700,3936300,2343600
2023-09-27,3669089,1241800,5391000,3621300,2435400
2023-09-28,4883866,882300,6092800,3697400,4326800
2023-09-29,3640744,996500,5150500,5581600,3171700
2023-10-02,9823466,935300,4349200,3827800,2063300
2023-10-03,6428620,859800,4597500,4580900,2454800
2023-10-04,7799475,829300,4336100,3159600,2153800
2023-10-05,5812799,1065400,5708300,3599500,2095400
2023-10-06,5331888,1137400,4790500,5370100,2441500
2023-10-09,2822082,1077200,3958300,2903300,1407600
2023-10-10,4435844,1289800,4352200,3729000,1904600
2023-10-11,2536955,1189600,9269300,3189800,1298000
2023-10-12,2796128,930900,7387000,4554400,2295500
2023-10-13,2809284,1235200,5623600,4304700,1672500
2023-10-16,3186862,1238800,6452300,3704400,1491600
2023-10-17,2535759,930600,8288600,5372400,1576200
2023-10-18,3214130,1118300,16482600,4910500,1373800
2023-10-19,3667295,1043300,8537800,6147100,1384700
2023-10-20,3056258,1008500,11516600,4223800,2385700
2023-10-23,4158014,846500,6178800,3903300,1314900
2023-10-24,7675928,1100500,6677000,3362900,1849200
2023-10-25,4618593,1630800,8157700,5461500,2174900
2023-10-26,4623975,2186400,6838100,5569400,2692500
2023-10-27,3962109,1586700,5934100,9427200,1480300
2023-10-30,3161626,1683300,7168900,9258500,1843500
2023-10-31,5555659,1358400,7452300,10394000,1953400
2023-11-01,4181934,1152100,6985000,4207800,1973000
2023-11-02,3144404,1086100,4683100,4066800,2152800
2023-11-03,3266396,1206700,5652600,5414500,2145600
2023-11-06,2578217,1335700,6137400,4377000,1426200
2023-11-07,2636223,1101600,4466500,5024400,1860400
2023-11-08,4142466,744800,4416000,5299100,1815000
